id,nameKey,descriptionKey,interiorVisionBonus,gunnerVisionBonus,hitThresholdModifier,ignoreDestroyed,ignoreCrewCheck,repairDiceCanFireSuppress,armorFrontSideBonus,armorRearSideBonus,mudAttackDiceBonus,mudMovementDiceBonus,mudMiscDiceBonus,movementDiceCanReverseDirection,smokeOnMiscPips2And4,miscDiceBonus,beachAttackDiceBonus,beachMovementDiceBonus,beachMiscDiceBonus,shootingDiceCanReload,mineDamageImmune,hiddenLongRangeUntargetable,mechanicalFailureImmune,ignoreFirstAttackParalyzedPerSegment,commanderShieldPerSegment,reviveCrewAtSegmentStart,carryLowestUnusedAttackDie,gunMantletArmorBonus
commander_cupola,campaignUpgrade.commanderCupola.name,campaignUpgrade.commanderCupola.description,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
improved_optics,campaignUpgrade.improvedOptics.name,campaignUpgrade.improvedOptics.description,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wet_ammo_rack,campaignUpgrade.wetAmmoRack.name,campaignUpgrade.wetAmmoRack.description,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spall_liner,campaignUpgrade.spallLiner.name,campaignUpgrade.spallLiner.description,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
automatic_extinguisher,campaignUpgrade.automaticExtinguisher.name,campaignUpgrade.automaticExtinguisher.description,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
side_skirts,campaignUpgrade.sideSkirts.name,campaignUpgrade.sideSkirts.description,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wide_tracks,campaignUpgrade.wideTracks.name,campaignUpgrade.wideTracks.description,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
improved_transmission,campaignUpgrade.improvedTransmission.name,campaignUpgrade.improvedTransmission.description,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smoke_launcher,campaignUpgrade.smokeLauncher.name,campaignUpgrade.smokeLauncher.description,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
intercom,campaignUpgrade.intercom.name,campaignUpgrade.intercom.description,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ready_rack,campaignUpgrade.readyRack.name,campaignUpgrade.readyRack.description,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
mine_roller,campaignUpgrade.mineRoller.name,campaignUpgrade.mineRoller.description,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
camouflage_net,campaignUpgrade.camouflageNet.name,campaignUpgrade.camouflageNet.description,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
reinforced_transmission,campaignUpgrade.reinforcedTransmission.name,campaignUpgrade.reinforcedTransmission.description,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
commander_ballistic_shield,campaignUpgrade.commanderBallisticShield.name,campaignUpgrade.commanderBallisticShield.description,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
emergency_medical_kit,campaignUpgrade.emergencyMedicalKit.name,campaignUpgrade.emergencyMedicalKit.description,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ammo_handling_optimization,campaignUpgrade.ammoHandlingOptimization.name,campaignUpgrade.ammoHandlingOptimization.description,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
new_gun_mantlet,campaignUpgrade.newGunMantlet.name,campaignUpgrade.newGunMantlet.description,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
